DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2000,80.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2001,82.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2002,94.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2003,92.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2004,103.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2005,100,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2006,91.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2007,89,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2008,93,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2009,97.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2010,100.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2011,103.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2012,95.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2013,104.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2014,108.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2015,103.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2016,100.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2017,109.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2018,112.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2019,109.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2020,97.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AL,2021,106.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2000,85.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2001,90.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2002,91.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2003,95.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2004,97.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2005,100,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2006,100.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2007,99,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2008,99.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2009,94.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2010,100.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2011,97.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2012,97.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2013,100.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2014,96.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2015,98.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2016,100.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2017,102.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2018,100,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2019,101.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2020,93.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2021,100.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,AT,2022,94.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2000,102.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2001,104.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2002,98.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2003,102.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2004,101.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2005,100,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2006,99,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2007,95.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2008,100.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2009,94.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2010,103.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2011,96,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2012,96.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2013,99.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2014,93.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2015,97.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2016,98.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2017,98,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2018,98.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2019,97.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2020,90.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2021,97.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BE,2022,90.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2000,89.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2001,89.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2002,89.5,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2003,96.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2004,95.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2005,100,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2006,103.7,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2007,101.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2008,98.4,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2009,84.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2010,87.1,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2011,91.3,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2012,90.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2013,86.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2014,88.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2015,93.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2016,95.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2017,97.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2018,97.9,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2019,97.2,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2020,94,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2021,100.6,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,BG,2022,97.8,
ESTAT:SDG_07_11(1.0),18/04/24 23:00:00,A,I05,CY,2000,90,
